prosthesis failure,uterine cancer
cfhr5 deficiency,spastic ataxia
glycosuria,heart rupture
hypersplenism,polyuria
syndactyly type 3,noonan syndrome 3
paresis,gitelman syndrome
hyperkinesis,vomiting
helix syndrome,prostatism
nbia2b,masp2 deficiency
bone density,mast syndrome
heartburn,alagille syndrome
pancreatic agenesis,long qt syndrome 12
trismus,appendicitis
crohn's disease,weight loss
gingival hemorrhage,diarrhea
tetanus,teratocarcinoma
vagus nerve disease,pemphigus
hamamy syndrome,holoprosencephaly 2
cfhr5 deficiency,paraquat lung
mutism,mastocytosis
fetal hypoxia,refsum disease
temporal arteritis,chickenpox
keipert syndrome,seminoma
insulinoma,fatigue
achondroplasia,leopard syndrome 3
mucinoses,intussusception
onycholysis,cholangiocarcinoma
endotoxemia,myhre syndrome
hypotrichosis 6,oligomenorrhea
campylobacteriosis,hemorrhoid
iatrogenic disease,berylliosis
hyperuricemia,hemorrhagic disease
cerebellar ataxia,hypotrichosis 2
wolman disease,enterocolitis
cystadenocarcinoma,cor pulmonale
nephronophthisis 7,adenomatous polyps
geographic tongue,femoral neuropathy
lens disease,campylobacteriosis
myelofibrosis,hyperparathyroidism
scoliosis,chest pain
papilloma,rectal disease
goiter,coronary stenosis
mptp poisoning,mevalonic aciduria
sneezing,seckel syndrome 4
martsolf syndrome,gingivitis
dysgerminoma,keratomalacia
immunodeficiency 7,cardiomyopathy
seckel syndrome,osteopoikilosis
kidney disease,takayasu arteritis
pancreatic agenesis,long qt syndrome 12
bile duct disease,onycholysis
stroke,tongue disease
cardiomegaly,sleep disorders
hyperbiliverdinemia,amoebic dysentery
male infertility,trismus
nicotine dependence,stickler syndrome
acid-base imbalance,meningoencephalitis
spondylolysis,bronchiolitis
leigh disease,pulmonary edema
hartnup disease,dysarthria
addison's disease,follicular lymphoma
cessation,maxillary diseases
joubert syndrome 3,may-hegglin anomaly
spondylitis,opisthorchiasis
somatoform disorder,stargardt disease 3
oral fistula,image-i syndrome
anterograde amnesia,short syndrome
hyperesthesia,nephronophthisis 19
hemophilia b,pharyngitis
polyneuropathy,kashin-beck disease
myelofibrosis,hyperparathyroidism
fucosidosis,syphilis
abdominal neoplasms,islet cell tumor
behcet's disease,pharyngitis
dislocations,perinatal death
gaucher's disease,scurvy
bethlem myopathy,atrial flutter
pars planitis,hiv seropositivity
nephrosis,noonan syndrome 10
peroxisomal disease,immunodeficiency 42
deafness and myopia,azotemia
lipomatosis,allergic rhinitis
myhre syndrome,myoclonic dystonia
fatigue,amaurosis fugax
brugada syndrome 3,meningitis
long qt syndrome 2,gas poisoning
carpenter syndrome,cystocele
lymphocele,steel syndrome
carney complex,vacuolar myopathy
ck syndrome,panuveitis
hawkinsinuria,cecal disease
finger injuries,ectopic pregnancy
spinal fractures,porencephaly
keipert syndrome,x-linked deafness 6
situs inversus,libido
abdominal neoplasms,arthropathy
carcinoma,eye burns
harp syndrome,xerophthalmia
pain,malt lymphoma
kowarski syndrome,arts syndrome
fasciculation,cystitis
muscle cramp,hyperthyroxinemia
sensation disorders,colonic polyps
triple-a syndrome,pleuropneumonia
duodenal ulcer,encephalomyelitis
trismus,colitis
peho-like syndrome,fibrochondrogenesis
addison's disease,renal oncocytoma
toxocariasis,skin manifestations
cataract 36,drunkenness nos
vascular cancer,colon cancer
alcoholic psychosis,immunodeficiency 40
hemorrhagic disease,lordosis
uveal melanoma,vulvitis
brain stem cancer,reynolds syndrome
hyperparathyroidism,corneal dystrophy
hyperinsulinism,mousepox
tinea capitis,anoxia
hyperparathyroidism,laryngeal disease
brain edema,osteoarthritis
orchitis,hepatoblastoma
anoxia,barber-say syndrome
transplantation,amaurosis fugax
shigellosis,anuria
inflammation,coronary thrombosis
retinoblastoma,mucosulfatidosis
kallmann syndrome,glucose intolerance
abdominal pain,mast syndrome
neurogenic bladder,hawkinsinuria
fuhrmann syndrome,cfhr5 deficiency
splenomegaly,martsolf syndrome
catifa syndrome,even-plus syndrome
vaginal disease,fuhrmann syndrome
spoan syndrome,carotid stenosis
ciliopathies,kidney calculi
fatty liver disease,calculi
pseudobulbar palsy,common cold
retinitis,joubert syndrome
leiomyoma,hemolytic anemia
immunodeficiency 37,hypohidrosis
eye manifestations,nanophthalmos 2
tendon injuries,opitz-gbbb syndrome
brucellosis,suicide
trachea leiomyoma,athetosis
inner ear disease,chondrosarcoma
heinz body anemias,discitis
bjornstad syndrome,nominal aphasia
neurasthenia,vulva cancer
poliomyelitis,febrile neutropenia
liddle syndrome,hirsutism
ogden syndrome,avian influenza
esophageal cancer,alcohol dependence
ileitis,mononeuropathy
ichthyosis vulgaris,bone marrow cancer
tics,ulcer
acidosis,speech disorder
temporal arteritis,frasier syndrome
neurasthenia,vulva cancer
heart disease,binge drinking
immunodeficiency 44,hypothyroidism
oxyphilic adenoma,yao syndrome
megacolon,x-linked ichthyosis
isaacs syndrome,immunodeficiency 30
panniculitis,spleen cancer
sickle cell anemia,death
gilbert syndrome,brain cancer
leukoplakia,glycoproteinoses
glycosuria,lipomatosis
parkinson's disease,silicosis
lens subluxation,blastomycosis
blepharophimosis,thyrotoxicosis
oliguria,motor disorders
endotoxemia,myhre syndrome
hearing disorders,cardiac tamponade
candidiasis,cholangiocarcinoma
tendinitis,methemoglobinemia
uterine cancer,thymoma
renal colic,tooth malformation
coloboma,cryptosporidiosis
pentosuria,saccharopinuria
mental depression,dystrophinopathies
neurofibromatosis,3mc syndrome 3
inflammation,gastrinoma
fasciculation,cystitis
edema of larynx nos,pasteurellosis
male infertility,trismus
lung agenesis,tooth disease
hyperprolactinemia,brugada syndrome 6
cataplexy,desmosterolosis
limited scleroderma,muscle weakness
covid-19,blast crisis
brain death,filariasis
basan syndrome,hydrothorax
herpes labialis,dyspnea
epidermal nevus,noonan syndrome 7
prolactinoma,rosah syndrome
shock,achromatopsia 3
polymicrogyria,scurvy
omodysplasia,alstrom syndrome
hypothyroidism,hyperargininemia
congenital syphilis,autistic disorder
d-glyceric aciduria,tinea pedis
osteochondroma,creatine kinase
gingival recession,long qt syndrome 6
x-linked ichthyosis,zika fever
fish diseases,mucolipidosis iv
chromosome deletion,lig4 syndrome
pituitary apoplexy,keipert syndrome
spoan syndrome,carotid stenosis
leukostasis,dystonia
spondyloarthropathy,thrombosis
angiosarcoma,eczema
bulimia nervosa,alstrom syndrome
peters anomaly,ciliopathies
meningocele,heart valve disease
birk-barel syndrome,long qt syndrome 3
diabetic foot,porencephaly
griscelli syndrome,bipolar disorder
rienhoff syndrome,digeorge syndrome
thrombocytopenia 1,latent tuberculosis
meniere's disease,obesity
atrophy,flushing
leukoplakia,atransferrinemia
nephrotoxicity,hyperoxia
retinitis,herpes labialis
hypobaropathy nos,mastodynia
hemangiopericytoma,cowden syndrome 6
cole disease,jeune syndrome
eyelid disease,neuroblastoma
dislocations,perinatal death
polyradiculopathy,czech dysplasia
keipert syndrome,seminoma
laryngostenosis,warfarin resistance
malnutrition nos,sialuria
hyperhidrosis,nephrolithiasis
brain edema,osteoarthritis
gastritis,feminization
cognition disorders,sinoatrial block
retreatment failure,cheilitis
nephronophthisis 3,hypochondroplasia
gyrate atrophy,inguinal hernia
nephronophthisis 16,mirror movements 2
dysostosis,iritis
eyelid disease,sprains and strains
ck syndrome,panuveitis
facies,somnambulism
croup,friedreich ataxia
mend syndrome,testicular disease
achromatopsia 4,anencephaly
intestinal polyps,aberrant crypt foci
hypolipoproteinemia,hepatitis
piebaldism,vacterl association
leiomyoma,cerebral hemorrhage
long qt syndrome 1,anal fistula
mobility limitation,shellfish poisoning
renal colic,tooth malformation
bullous pemphigoid,hypoaldosteronism
goldenhar syndrome,immunodeficiency 54
whim syndrome,immunodeficiency 40
urinoma,failure to thrive
choledochal cyst,uveitis
visual epilepsy,wagner syndrome
ketosis,gallbladder disease
stromme syndrome,cryptococcosis
hyperinsulinism,bacterial pneumonia
covid-19,polymyositis
spondyloarthropathy,hair disease
bone cancer,osteonecrosis
fatty liver disease,alopecia areata
macrocytic anemia,oxyphilic adenoma
lymphoma,esophageal stenosis
ketosis,gallbladder disease
cochlear disease,xerostomia
inner ear disease,chondrosarcoma
schizencephaly,hyperproinsulinemia
vomiting,motion sickness
hamamy syndrome,holoprosencephaly 2
spermatocele,osteoarthritis
x-linked deafness 6,hyperplasia
giardiasis,hepatitis
ventricular flutter,insomnia
leukoplakia,glycoproteinoses
metrorrhagia,aphonia
meningocele,heart valve disease
subacute delirium,melena
insulin resistance,perinatal death
hemorrhagic disease,lordosis
psoas abscess,hypophosphatemia
ventricular flutter,kidney calculi
paraganglioma,vacterl association
nephronophthisis 12,long qt syndrome 3
paronychia,hemangioma
bronchitis,barber-say syndrome
onychomycosis,hypohidrosis
sarcoidosis,cholecystitis
hypotrichosis 5,acneiform eruptions
bronchial disease,acute abdomen
gaucher's disease,stupor
iatrogenic disease,berylliosis
anaphylaxis,uterine disease
iridocyclitis,syndactyly type 4
scabies,causalgia
mc syndrome 3,retrograde amnesia
heart rate,behcet's disease
syncope,moyamoya disease 5
dyspnea,neurofibrosarcoma
x-linked deafness 5,pseudotumor cerebri
sleeping sickness,cocaine abuse
weaver syndrome,boomerang dysplasia
renal hypertension,bjornstad syndrome
fanconi anemia,cyanosis
rhabdomyolysis,hematoma
bethlem myopathy,cd59 deficiency
orofacial cleft 10,libido
synpolydactyly,insulinoma
uterine rupture,myelofibrosis
papilloma,rectal disease
muscle hypertrophy,encephalitis
ocular albinism,narcolepsy
dyspnea,neurofibrosarcoma
croup,periapical diseases
glucagonoma,renal colic
immunodeficiency 44,hypothyroidism
hypogonadism,ck syndrome
urofacial syndrome,cannabis dependence
arima syndrome,glucagonoma
cakut,skin disease
septic arthritis,hepatitis b
vici syndrome,ovarian cancer
hyphema,enuresis
carcinoid,thrombocytopenia 6
trimethylaminuria,esophageal disease
pycnodysostosis,triple-a syndrome
exotropia,pars planitis
nocturia,mobius syndrome
immune suppression,echinococcosis
pseudobulbar palsy,reperfusion injury
holoprosencephaly 1,nephrolithiasis
rhabdomyosarcoma 1,jet lag syndrome
leukostasis,dystonia
geographic tongue,femoral neuropathy
addison's disease,coccidioidomycosis
abdominal neoplasms,discitis
syndactyly type 4,pneumoconiosis
uremia,mast syndrome
rectal disease,dyslexia
thymus cancer,duodenum cancer
morphine dependence,hypocapnia
proteus syndrome,myoglobinuria
ascariasis,diurnal enuresis
dysarthria,speech disorder
nephronophthisis 16,mirror movements 2
migraine with aura,wolfram syndrome
ankylosis,hypoglycemia
eumycotic mycetoma,acromegaly
recurrence,combat disorder
lymphoma,esophageal stenosis
morbid obesity,amoebic dysentery
dizziness,open-angle glaucoma
bile duct cancer,synpolydactyly
liddle syndrome,immunodeficiency 17
adermatoglyphia,hemobilia
atrial flutter,al kaissi syndrome
varicocele,cholangiocarcinoma
achromatopsia 7,leukemia
pneumothorax,hemothorax
netherton syndrome,lymphocele
microstomia,periorbital edema
gonadal dysgenesis,osteosclerosis
factor v deficiency,catatonia
meckel syndrome 7,fasciculation
fragile x syndrome,even-plus syndrome
pituitary gigantism,osteoarthritis
oral candidiasis,brucellosis
exanthem,atrophy
cardiac oedema,nocardiosis
hawkinsinuria,nephritis
parkinson's disease,silicosis
x-linked deafness 6,hyperplasia
angiomatosis,chlorine acne
fetal death,eye injuries
lordosis,parapsoriasis
brugada syndrome 2,sickle cell anemia
cerebral hemorrhage,joubert syndrome 3
drug toxicity,mend syndrome
foveal hypoplasia,radiculopathy
infarction,hypocalcemia
shock,thrombocytosis
thrombocytopenia 2,fecal incontinence
priapism,mydriasis
rosah syndrome,gne myopathy
acidosis,atherosclerosis
hypotrichosis 6,oligomenorrhea
goiter,coronary stenosis
brunner syndrome,image-i syndrome
hyperemia,fabry disease
griscelli syndrome,bipolar disorder
naxos disease,sleeping sickness
choledochal cyst,danon disease
piebaldism,vacterl association
even-plus syndrome,atrial flutter
acute abdomen,nerve degeneration
asphyxia,hypotrichosis 4
hypochondroplasia,carney complex
duodenum cancer,rosah syndrome
meconium ileus,enuresis
hyperinsulinism,mousepox
dysmenorrhea,choriocarcinoma
cessation,acute porphyria
immunodeficiency 10,sparganosis
adult i phenotype,angelman syndrome
vacuolar myopathy,long qt syndrome 1
islet cell tumor,bile duct cancer
duodenal ulcer,polyps
immunodeficiency 24,burns
dyslipidaemia,bulimia nervosa
morm syndrome,duodenum cancer
fanconi anemia,fetal resorption
polydactyly,facial paralysis
hemangioma,short syndrome
spondylolysis,bronchiolitis
rosacea,allergic rhinitis
weaver syndrome,boomerang dysplasia
allergic rhinitis,peritonitis
fabry disease,nose neoplasms
c9 deficiency,renal tuberculosis
leriche syndrome,embryo loss
familial dementia,verheij syndrome
nephronophthisis 15,arachnodactyly
corneal ulcer,speech disorder
jaw abnormalities,pancreatic diseases
deafness,sunburn
gingival recession,liddle syndrome
kowarski syndrome,nephrosclerosis
syndactyly type 4,critical illness
tardive dyskinesia,leydig cell tumor
neoplasm seeding,dyspepsia
stomach cancer,retinal disease
wasting syndrome,toxoplasmosis
pre-eclampsia,tracheal cancer
pregnancy,germinoma
noonan syndrome 7,melena
priapism,drunkenness nos
granuloma,warfarin resistance
achromatopsia 4,infection
hypercalcemia,thoracic disease
male infertility,trismus
anuria,tonsillectomy
immunodeficiency 34,methemoglobinemia
bradycardia,serkal syndrome
long qt syndrome 10,optic atrophy 1
eumycotic mycetoma,spinal stenosis
coccidioidomycosis,pulmonary edema
hyper ige syndrome,harp syndrome
breast cancer,self mutilation
erythema multiforme,agammaglobulinemia
filariasis,barrett's esophagus
coronary thrombosis,cystinuria
au-kline syndrome,weaver syndrome
subacute delirium,blau syndrome
cor pulmonale,mast syndrome
aarskog syndrome,central sleep apnea
noonan syndrome 7,au-kline syndrome
immunodeficiency 12,even-plus syndrome
endotoxemia,methemoglobinemia
piebaldism,vacterl association
hyperacusis,brody myopathy
addison's disease,coccidioidomycosis
asphyxia,hypotrichosis 4
smooth muscle tumor,d-glyceric aciduria
kindler syndrome,hematuria
schizencephaly,parasomnias
muscle rigidity,polyuria
psoriatic arthritis,dyslipidaemia
bundle-branch block,treatment failure
monkey diseases,stroke
even-plus syndrome,seckel syndrome
rupture,choledochal cyst
hypopituitarism,dysostosis
osteopoikilosis,opioid abuse
bulimia nervosa,x-linked deafness 2
ventricular flutter,elderly adult
porphyria,fraser syndrome
goldenhar syndrome,sitosterolemia
oligospermia,harp syndrome
silicosis,aspergillosis
protein deficiency,ear cancer
cessation,acute porphyria
choledochal cyst,proud syndrome
pheochromocytoma,medulloepithelioma
cystathioninuria,renal hypouricemia
hypertrophy,image syndrome
insulinoma,hypermethioninemia
fibrochondrogenesis,uveal cancer
addison's disease,renal oncocytoma
sickle cell anemia,death
robinow syndrome,irritant dermatitis
bladder exstrophy,lassa fever
primrose syndrome,dry eye syndrome
hiatus hernia,farmer's lung
goldenhar syndrome,sitosterolemia
keratoacanthoma,optic atrophy 9
arachnoiditis,mucolipidosis
frasier syndrome,neurilemmoma
obesity,limited scleroderma
syncope,macrostomia
glycosuria,heart rupture
muir-torre syndrome,chondroma
bursitis,immunodeficiency 28
maffucci syndrome,otitis
croup,friedreich ataxia
language disorder,al kaissi syndrome
lymphoma,esophageal stenosis
uremia,mast syndrome
nemaline myopathy 6,headache
tibial fractures,ileus
long qt syndrome 2,gas poisoning
long qt syndrome,nemaline myopathy
morphine dependence,hypocapnia
joubert syndrome 4,myocarditis
conjunctivitis,dent disease 2
labor pain,tropical sprue
chops syndrome,osteopoikilosis
phencyclidine abuse,microcytic anemia
pituitary gigantism,osteoarthritis
bradycardia,cannabis dependence
tinea pedis,hydranencephaly
subacute delirium,melena
hypervitaminosis a,collagen disease
endarteritis,scleritis
myositis ossificans,penile cancer
stiff skin syndrome,phaeohyphomycosis
follicular cyst,liver cancer
hawkinsinuria,costello syndrome
geographic tongue,femoral neuropathy
umbilical hernia,phgdh deficiency
cor pulmonale,poultry diseases
gyrate atrophy,inguinal hernia
gastroschisis,neutropenia
leopard syndrome 3,oligohydramnios
colonic disease,krabbe disease
pancytopenia,frasier syndrome
retinitis,herpes labialis
keratosis,mental depression
chylous ascites,gallbladder cancer
keratoconus,anaplasia
whim syndrome,immunodeficiency 40
ovarian cancer,livedo reticularis
holoprosencephaly 9,carpenter syndrome
carcinogenesis,parietal foramina
cerebral infarction,mass phenotype
night terrors,congenital microtia
dysbiosis,hyperandrogenism
acneiform eruptions,hyphema
hyperargininemia,myoclonic dystonia
malnutrition nos,hyperinsulinism
pfeiffer syndrome,ovarian cancer
fucosidosis,syphilis
hyperparathyroidism,corneal dystrophy
anorexia,gynecomastia
achlorhydria,mesenchymoma
blindness,hypertrophy
balkan nephropathy,robinow syndrome
endocarditis,hypolipoproteinemia
angiosarcoma,eczema
pain crisis,scotoma
triple-a syndrome,pseudobulbar palsy
x-linked deafness 1,carcinogenesis
synovitis,hoarseness
bethlem myopathy,constipation
eiken syndrome,dystonia
wilms tumor 6,achromatopsia 7
jaundice,perinatal death
hypochondroplasia,carney complex
hepatomegaly,myotonia congenita
pilomatrixoma,bile duct disease
x-linked deafness 6,adhesion
cryptosporidiosis,galactorrhea
atopic dermatitis,cor pulmonale
neurogenic bowel,cataract 44
femoral neuropathy,pyelitis
bronchopneumonia,multiple myeloma
nemaline myopathy 9,dysarthria
filariasis,barrett's esophagus
x-linked deafness 1,carcinogenesis
fasciculation,cystitis
anorexia,gynecomastia
periorbital edema,thrombocytopenia 4
lymphocele,jeune syndrome
sclerosteosis 1,fanconi anemia
colonic polyps,asphyxia
myasthenia gravis,kawasaki disease
thoracic disease,alkalosis
immunodeficiency 18,partington syndrome
acquired angioedema,visceral pain
skeletal dysplasia,brugada syndrome
gillespie syndrome,polyploidy
laryngostenosis,warfarin resistance
osteonecrosis,pernicious anemia
diabetic foot,porencephaly
motor disorders,epistaxis
panophthalmitis,breast cancer
sphingolipidosis,hyper ige syndrome
imperforate anus,dental caries
tendon injuries,opitz-gbbb syndrome
croup,periapical diseases
anovulation,gonadal disease
prinzmetal angina,mast syndrome
prenatal injuries,schnitzler syndrome
trichuriasis,decerebrate state
infant death,arthritis
prostate disease,signs and symptoms
ulnar neuropathy,adenoma
malaria,carcinosarcoma
gne myopathy,covid-19
myocardial stunning,conn's syndrome
immunodeficiency 18,partington syndrome
cellulitis,hoarding disorder
hiatus hernia,farmer's lung
myokymia,may-hegglin anomaly
otitis media,scabies
renal oncocytoma,choristoma
malaria,al-raqad syndrome
atr-x syndrome,astigmatism
discitis,phencyclidine abuse
keratoacanthoma,cataract 36
kallmann syndrome,bloom syndrome
orofacial cleft 10,libido
kowarski syndrome,arts syndrome
tetralogy of fallot,nephronophthisis 9
adermatoglyphia,serratia infection
endotoxemia,hypercalcemia
immunodeficiency 43,mucocele
chondroma,skin melanoma
ischemic colitis,hemochromatosis
apnea,fibromyalgia
stomatitis,hypophosphatasia
atrophy,digeorge syndrome
gingival recession,orbital disease
hemorrhage,achondroplasia
papillary carcinoma,aspermia
bronchitis,barber-say syndrome
endotoxemia,cousin syndrome
noonan syndrome 7,au-kline syndrome
ototoxicity,trichomoniasis
epididymitis,hepatoblastoma
fanconi anemia,fetal resorption
herpes zoster,teratocarcinoma
al-gazali syndrome,bradyopsia
heart rupture,renal oncocytoma
hypertrophy,image syndrome
ascariasis,diurnal enuresis
gagging,cheilitis
lung adenocarcinoma,xanthomatosis
morbid obesity,amoebic dysentery
malt lymphoma,immunodeficiency 39
immunodeficiency 56,pars planitis
spondylolysis,bronchiolitis
rectal disease,dyslexia
hypochondroplasia,carney complex
syncope,heart injuries
shock,achromatopsia 3
breast cancer,self mutilation
rhabdomyoma,coma
prosthesis failure,uterine cancer
oligospermia,harp syndrome
dermatomyositis,ewing sarcoma
hepatomegaly,mousepox
bjornstad syndrome,nominal aphasia
nose disease,hypotrichosis 6
renal colic,headache disorders
tetanus,teratocarcinoma
arima syndrome,glucagonoma
hypogonadism,ck syndrome
renal oncocytoma,wagr syndrome
tinea capitis,foot ulcer
menkes disease,atransferrinemia
three m syndrome 2,rupture
retinoblastoma,airway remodeling
atransferrinemia,kidney cancer
nocturia,psoas abscess
mastitis,bone marrow disease
bronchitis,barber-say syndrome
occupational asthma,kidney failure
hyperthyroxinemia,byssinosis
duodenal ulcer,encephalomyelitis
tyrosinemia,esophageal stenosis
chromosome breakage,dyslexia
tibial neuropathy,hemoglobinopathy
cognition disorders,sinoatrial block
nanophthalmos 2,czech dysplasia
mobius syndrome,nephronophthisis 4
hypervitaminosis a,collagen disease
tetralogy of fallot,nephronophthisis 9
male infertility,trismus
drug overdose,hypoparathyroidism
hypochromic anemia,noonan syndrome 3
endotoxemia,myhre syndrome
hairy cell leukemia,eiken syndrome
venous ulcer of leg,wilson disease
long qt syndrome 6,fibromyalgia
kowarski syndrome,nephrosclerosis
dysgerminoma,heart valve disease
somatoform disorder,uterine prolapse
chops syndrome,harel-yoon syndrome
cheilitis,hypokalemia
mobility limitation,shellfish poisoning
hypothermia,wolfram syndrome
whim syndrome,deafness
bone cancer,osteonecrosis
brugada syndrome,hyperglycinuria
common cold,short syndrome
uterine hemorrhage,tooth discoloration
stuttering,hyperamylasemia
variegate porphyria,salmonellosis
ebstein anomaly,hennekam syndrome
fanconi anemia,neurogenic bladder
facial injuries,atrophic gastritis
glycosuria,hemangioma
cleft lip,peters anomaly
bacteriuria,wheat allergy
kallmann syndrome,bloom syndrome
polydactyly,facial paralysis
shigellosis,anuria
arima syndrome,glucagonoma
bronchopneumonia,multiple myeloma
iatrogenic disease,auditory neuropathy
akinetic mutism,ichthyosis vulgaris
tenorio syndrome,glomerular disease
cecal disease,tauopathy
facial injuries,atrophic gastritis
joubert syndrome 8,neurotic disorder
nicotine dependence,prostate disease
trimethylaminuria,esophageal disease
coats disease,sciatic neuropathy
dislocations,paronychia
hyperuricemia,iminoglycinuria
paraparesis,mucosulfatidosis
immunodeficiency 37,orofacial cleft 5
malaria,al-raqad syndrome
cardiomegaly,wagr syndrome
crohn's disease,weight loss
catifa syndrome,chilblain lupus 2
asbestosis,hyperkinesis
finger injuries,ectopic pregnancy
lafora disease,psoriasis
berylliosis,masp2 deficiency
intestinal disease,noonan syndrome 10
mycotoxicosis,anal carcinoma
tenorio syndrome,lactic acidosis
liddle syndrome,hirsutism
naxos disease,sleeping sickness
cochlear disease,ureteral calculi
polycythemia vera,hair disease
appendicitis,hiccup
choledocholithiasis,nemaline myopathy 1
eyelid disease,neuroblastoma
peliosis hepatis,myocarditis
priapism,drunkenness nos
vascular diseases,familial meningioma
behcet's disease,pharyngitis
riddle syndrome,hookworm disease
hypobaropathy nos,x-linked deafness 6
ascariasis,diurnal enuresis
hypomagnesemia,bruck syndrome 1
syncope,heart injuries
prinzmetal angina,mast syndrome
kashin-beck disease,neural tube defect
drug toxicity,mend syndrome
nbia2b,masp2 deficiency
atr-x syndrome,astigmatism
polycythemia,immunodeficiency 36
kawasaki disease,acute lung injury
carcinoma,hemifacial spasm
pycnodysostosis,pfeiffer syndrome
facial asymmetry,fecal incontinence
acidosis,aarskog syndrome
hemorrhoid,noonan syndrome 3
paraganglioma,vacterl association
bone density,chorioamnionitis
burns,glycoproteinoses
bone marrow cancer,achromatopsia 4
polycythemia vera,lichenoid eruptions
amyloidosis,rectal disease
birk-barel syndrome,long qt syndrome 3
netherton syndrome,lymphocele
muscle cancer,myoclonic dystonia
orofacial cleft 15,noonan syndrome 4
recurrence,combat disorder
blister,myositis ossificans
erythema,gonadal dysgenesis
cochlear disease,speech disorder
bartter disease,hypoalbuminaemia
fumarase deficiency,birth weight
visceral myopathy,isovaleric acidemia
bone marrow cancer,achromatopsia 4
muscle cramp,hyperthyroxinemia
pycnodysostosis,triple-a syndrome
cortical blindness,echinococcosis
syndactyly type 4,critical illness
panniculitis,spleen cancer
abdominal injuries,osteoarthritis
tay-sachs disease,mednik syndrome
aplastic anemia,scoliosis
coronary restenosis,chylous ascites
anterograde amnesia,short syndrome
intestinal polyps,visceral myopathy
pycnodysostosis,triple-a syndrome
pernicious anemia,urofacial syndrome
brain death,thymus cancer
balkan nephropathy,rickettsioses nos
croup,brugada syndrome 2
cerebellar ataxia,tenorio syndrome
spondyloarthropathy,dysgerminoma
fatty liver disease,calculi
neurofibroma,mobility limitation
cowden syndrome 5,cryptosporidiosis
lafora disease,trichotillomania
immunodeficiency 10,sparganosis
orofacial cleft 5,atopic dermatitis 2
gaucher's disease,stupor
harel-yoon syndrome,pneumocephalus
verheij syndrome,enteritis
ureter cancer,puerperal disorders
nephronophthisis 7,adenomatous polyps
methemoglobinemia,jaundice
acidophil adenoma,pars planitis
bradycardia,serkal syndrome
myokymia,may-hegglin anomaly
triple-a syndrome,eclampsia
fanconi anemia,fetal resorption
larva migrans,pharyngitis
acne,thrombocytopenia 1
hyphema,enuresis
peliosis hepatis,serratia infection
pfeiffer syndrome,ovarian cancer
desmoid tumor,bacteriuria
immunodeficiency 44,hypothyroidism
pycnodysostosis,pfeiffer syndrome
phencyclidine abuse,microcytic anemia
hawkinsinuria,costello syndrome
glycosuria,heart rupture
neonatal anemia,galactorrhea
acquired angioedema,kashin-beck disease
noonan syndrome 7,melena
tick-borne diseases,congenital syphilis
pancreatic agenesis,long qt syndrome 12
hydrocephalus,muscle cancer
hyperostosis,bradyopsia
herpes labialis,dyspnea
synpolydactyly 2,keratoconus 1
pleural cancer,infection
infection,blister
acidosis,immunodeficiency 44
brain abscess,otosclerosis
gm2 gangliosidosis,pulmonary embolism
achondroplasia,leopard syndrome 3
x-linked deafness 1,carcinogenesis
neu-laxova syndrome,optic nerve disease
rectum cancer,common cold
sneddon syndrome,esophageal atresia
cranial nerve palsy,long qt syndrome 6
ocular hypotension,listeria meningitis
drug toxicity,mend syndrome
heartburn,contact dermatitis
bronchopneumonia,multiple myeloma
noonan syndrome 5,laryngomalacia
frasier syndrome,retrograde amnesia
diverticulum,exanthem
psoas abscess,hypophosphatemia
liddle syndrome,epidermal nevus
laryngostenosis,spinal cord disease
joubert syndrome 3,may-hegglin anomaly
acatalasia,joubert syndrome 4
malt lymphoma,immunodeficiency 39
cognition disorders,bartter disease
mobius syndrome,nephronophthisis 4
panophthalmitis,breast cancer
zellweger syndrome,hyperpigmentation
dermatomyositis,eclampsia
urea cycle disorder,tauopathy
acidosis,speech disorder
au-kline syndrome,weaver syndrome
adult i phenotype,martsolf syndrome
glucagonoma,pseudotumor cerebri
immunodeficiency 10,gastrinoma
rhinitis,dent disease
verheij syndrome,enteritis
kidney cancer,genetic disease
aarskog syndrome,covid-19
heart rupture,bradycardia
cervix disease,gingival overgrowth
stromme syndrome,cryptococcosis
urea cycle disorder,tauopathy
jaundice,optic atrophy 7
c9 deficiency,renal tuberculosis
kallmann syndrome,glucose intolerance
optic atrophy 1,ureter cancer
nephronophthisis 16,mirror movements 2
bile duct cancer,hemifacial spasm
granuloma,neurofibrosarcoma
bone cancer,osteonecrosis
orofacial cleft 5,calcinosis
narcolepsy,visceral pain
urea cycle disorder,headache
vacuolar myopathy,blau syndrome
trypanosomiasis,amblyopia
tinea pedis,diarrhea
coronary stenosis,borderline leprosy
brody myopathy,osteomalacia
neurilemmoma,phencyclidine abuse
leiomyoma,mydriasis
corneal ulcer,speech disorder
pancreatitis,keratoconus 1
galactorrhea,headache disorders
asphyxia,hypotrichosis 4
nephronophthisis 16,mirror movements 2
noonan syndrome 4,monosomy
fucosidosis,syphilis
herpes zoster,teratocarcinoma
flushing,foot deformities
central sleep apnea,acrodysostosis
thrombocytopenia 2,helix syndrome
pierson syndrome,suicide
prolactinoma,rosah syndrome
tibial fractures,ileus
manganese poisoning,moyamoya disease 5
chime syndrome,immunodeficiency 26
optic atrophy 1,ureter cancer
short syndrome,ascites
anal fistula,long qt syndrome 11
ectopia lentis,immunodeficiency 51
larynx cancer,malaria
